sentence1,sentence2,label
"Хэрлэнгийн Хөдөө арал гэдэг бол одоогийн Баян-Улаан уул мөн болов уу гэдэг миний саналыг түүхч X. Пэрлээ дэмжиж хэдэн өгүүллийг бичсэн байна.","Хэрлэнгийн Хөдөө арал одоогийн Баян-Улаан уул мөн болов уу гэдэг санааг түүхч X. Пэрлээ дэмжиж бичсэн.","0"
"Баян-Улааны Хар талд Тосон, Замагт нуур, Цагаан нуур, Хөдөө нуур зэргийн хэдэн нуур бий.","Баян-Улааны Хар талд хэд хэдэн нуур байдаг гэдэг.","0"
"Баян-Улаан бол хааш хаашаа 70-80 орчим километр ой модтой өндөр сайхан уул юм. Баян-Улааны өвөрт хааш хаашаа 70-80 орчим километр өргөн тал байна.","Баян-Улаан бол 70-80 км өргөн талтай уул юм гэдэг.","0"
"Эдгээр долоон толгойн нэр нь: 1. Дөрвөлжин 2. Сүүл 3. Их улаан толгой 4. Бага улаан толгой 5. Олон овоо 6. Тахилгат 7. Гацаа","Эдгээр долоон толгойн нэрсийг: Дөрвөлжин, Сүүл, Их улаан толгой, Бага улаан толгой, Олон овоо, Тахилгат, Гацаа гэж нэрлэдэг.","1"
"Одоо Аварга тосон гэдэг нэрийн тухай өгүүлье. Тосон гэдэг жижиг нуур бол эртнээс одоо хүртэл ард олны рашаан болгон хэрэглэсээр ирсэн минерал давслаг нуур юм.","Аварга тосон гэдэг нэрийн тухай өгүүлье. Тосон гэдэг минирал давслаг нуур бөгөөд ард олны рашаан болгон хэрэглэсээр ирсэн.","1"
"Тосон нуураас зүүн урагш 5 километрийн газарт Аваргын гол гэдэг булаг баруун урагш чиглэн Тооно уулын араар урсана.","Тосон нуураас зүүн урагш 5 км газар Аваргын гол гэдэг булаг баруун урагш урсана.","1"
"Аваргын голын хөвөөн дээр Хэнтий аймгийн Дэлгэрхаан сумын төв байна. Дэлгэрхаан сумын төвөөс баруун урагш Аваргын рашаан гэдэг эсгэлэн устай булаг бий.","Аваргын голын хөвөөнд Хэнтий аймгийн Дэлгэрхаан сумын төв байдаг. Баруун урагш Аваргын рашаан гэдэг эсгэлэн устай булаг байна.","1"
"Эдгээрийг миний бие 1951 онд явж үзээд одоогийн Аварга гэдэг нэр бол XIII зууны үед байсан Монголын орд Аураг мөн гэдэг саналыг дэвшүүлсэн билээ.","1951 онд миний бие Аварга гэдэг нэрийг XIII зууны Монголын орд Аураг мөн гэдэг саналыг дэвшүүлсэн.","1"
"Аураг гэдэг үг хуучирсан учир Монголын ярианы хэлэнд гуйвуулан агуу их гэсэн утгатай «аварга» гэдэг үг болгож хувиргасан байна.","Аураг гэдэг үг хуучирсан бөгөөд агуу их гэсэн утгатай «аварга» гэдэг үг болгож хувиргасан.","1"
"Аваргын рашаан булгийн хойд дэнж дээрх туурийг 1969 онд археологич X. Пэрлээ малтаж үзээд XIII зууны үеийн хотын үлдэгдэл мөн гэж тогтоосон ба Чингисийн Ауруг ордны үлдэгдэл мөн гэж үзсэн байна.","Аваргын рашаан булгийн хойд дэнж дээрх туурийг 1969 онд археологич X. Пэрлээ малтаж XIII зууны үеийн хотын үлдэгдэл гэж тогтоосон.","1"
"Тус хотод гар урлалын хүмүүс сууж байсан ба том орд, сүм зэрэг байжээ. Гар урлалын гудамжнаас ширэм хайлж байсан баримт олджээ.","Тус хотод гар урлалын хүмүүс сууж, том орд, сүм байжээ. Гар урлалын гудамжнаас ширэм хайлж байсан баримт олджээ.","1"
"Монголын Ауруг гэдэг орд нь анхандаа нүүдэллэж байгаад сүүлдээ суурьшсан бололтой. Нууц товчооны 136-р зүйлд бичсэн нь: «Чингис хааны Ауруг Харилт нуурт байлаа.»","Монголын Ауруг гэдэг орд нь анх нүүдэллэж байгаад сүүлдээ суурьшсан гэж үздэг. Нууц товчооны 136-р зүйлд Чингис хааны Ауруг Харилт нуурт байлаа гэж бичсэн.","1"
"Жүрхэн тавин хүний хувцсыг тонож, арван хүнийг алжээ. Жүрхэнд тийн хийгдэв гэж бидний Ауруг-тур хоцрогсод Чингис хаанд өгүүлбээс... Чингис хаан Жүрхэнд морилов.","Жүрхэн тавин хүний хувцсыг тонож, арван хүнийг алсан. Ауруг-тур хоцрогсод Чингис хаанд өгүүлсэн гэж байна.","1"
"Чингис хаан Жүрхэнд морилов. Жүрхэнийг Хэрлэнгийн Хөдөө арлын Долоон болдогт байхад довтлов","Чингис хаан Жүрхэнд морилж, Жүрхэнийг Хэрлэнгийн Хөдөө арлын Долоон болдогт байхад довтлов.","1"
"Чингисийн Ауруг орд Харилт нуур гэдэг газарт байжээ. Энэ Харилт нуур нь Рашид Эд-диний мэдээлсэн Халил нуур мөн бололтой бөгөөд Цэнхэрийн голын эх хавьд байжээ.","Чингисийн Ауруг орд Харилт нуур гэдэг газарт байжээ. Энэ Харилт нуур Рашид Эд-диний Халил нуур мөн бололтой бөгөөд Цэнхэрийн голын эх хавьд байжээ.","1"
"Чингисийн Ауруг орд нь Хэрлэнгийн Хөдөө аралд сүүлдээ суурьшсан бололтой. Нууц товчооны 122-р зүйлд бичсэн ба Чингисийг хаан болгон өргөмжилсөн гэж байна.","Чингисийн Ауруг орд нь Хэрлэнгийн Хөдөө аралд суурьшсан гэж үздэг. Нууц товчооны 122-р зүйлд Чингисийг хаан болгон өргөмжилсөн гэж бичсэн.","1"
"Саган сэцний «Эрдэнийн товчид» өгүүлсэн нь: «Тэмүжин хаан хөвүүн хорин найман насандаа шарагчин тахиа жил (1189) Хэрлэн мөрний Хөдөө аралд хаан оронд суусан» гэжээ.","Саган сэцний «Эрдэнийн товчид» -д Тэмүжин хаан 1189 онд Хэрлэн мөрний Хөдөө аралд хаан оронд суусан гэж бичсэн.","1"
"Галдан туслагчийн «Эрдэнийн эрих» хэмээх түүхэнд Чингис хааныг Хэрлэн мөрний Хөдөө аралд хаан суусан гэж бичсэн байна.","Галдан туслагчийн «Эрдэнийн эрих» түүхэнд Чингис хааныг Хэрлэн мөрний Хөдөө аралд хаан суусан гэж бичсэн.","1"
"Эдгээр долоон толгойн нэр нь: 1. Дөрвөлжин 2. Сүүл 3. Их улаан толгой 4. Бага улаан толгой 5. Олон овоо 6. Тахилгат 7. Гацаа","Эдгээр долоон толгойн нэрсийг: Дөрвөлжин, Сүүл, Их улаан толгой, Бага улаан толгой, Олон овоо, Тахилгат, Гацаа гэж нэрлэдэг.","0"
"Одоо Аварга тосон гэдэг нэрийн тухай өгүүлье. Тосон гэдэг жижиг нуур бол эртнээс одоо хүртэл ард олны рашаан болгон хэрэглэсээр ирсэн минерал давслаг нуур юм.","Аварга тосон гэдэг нэрийн тухай өгүүлье. Тосон гэдэг минирал давслаг нуур бөгөөд ард олны рашаан болгон хэрэглэсээр ирсэн.","0"
"Тосон нуураас зүүн урагш 5 километрийн газарт Аваргын гол гэдэг булаг баруун урагш чиглэн Тооно уулын араар урсана.","Тосон нуураас зүүн урагш 5 км газар Аваргын гол гэдэг булаг баруун урагш урсана.","0"
"XIII зууны үед Хархорумаас гадна Чингис хааны гурван орд байсан бөгөөд түүнийг тусгай ноёд харгалзан захирч байсан байна. Эдгээрийн нэг нь Японы түүхч Янай Ватари-ийн магадалсан ёсоор Хэрлэн голд цутгадаг Цэнхэрийн голын ойр Долоон болдог, Шилгинцэг хоёрын хооронд байжээ.","XIII зууны үед Хархорумаас гадна Чингис хааны гурван орд байсан. Эдгээр ордыг Японы түүхч Янай Ватари-ийн магадалсан ёсоор Цэнхэрийн голын ойр Долоон болдог, Шилгинцэг хоёрын хооронд байжээ.","1"
"Энэ ордыг «Богд баатар биеэр дайлсан тэмдэглэл» гэдэг зохиолд «Чингис хааны их орд» гэж нэрлэсэн байна.","Энэ ордыг «Богд баатар биеэр дайлсан тэмдэглэл» гэдэг зохиолд «Чингис хааны их орд» гэж нэрлэсэн.","1"
"Эдгээр дөрвөн ордыг Хубилай хааны хүү Номгон зэрэг ихэс ноёд захирч байснаас үзэхэд нүүдэллэн явах хэдэн гэр байгаагүй, нэлээд тохитой байран суурин том хот суурин байсан гэж үзэж болно.","Эдгээр дөрвөн ордыг Хубилай хааны хүү Номгон зэрэг ихэс ноёд захирч байсан нь нэлээд тохитой байранд суурин том хот байсан гэж үзэж болно.","1"
"Чингис хааны Ауруг орд нь Хэрлэн голын хавиар анхандаа нүүж байгаад сүүлд Хэрлэнгийн Хөдөө аралд суурьшсан бололтой. Тэр Ауруг ордны үлдэгдэл нь одоогийн Баян-Улааны Хар талд Аварга Тосонгоос урагш 10 километрийн газарт байгаа хотын туурь мөн гэж бид бодож байна.","Чингис хааны Ауруг орд нь Хэрлэн голын хавиар анх нүүж байгаад Хэрлэнгийн Хөдөө аралд суурьшсан гэж үздэг. Ауруг ордны үлдэгдэл нь одоогийн Баян-Улааны Хар талд Аварга Тосонгоос урагш 10 км газар байгаа хотын туурь гэж үздэг.","1"
"Урьдын Ауруг гэдэг үг сунжраад одоо Аварга болжээ гэж бас таамаглаж байна. Ауруг гэдэг нэр угтаа аварга их, агуу их гэсэн үг биш юм.","Ауруг гэдэг үг сунжраад одоо Аварга болжээ гэж таамаглаж байна. Ауруг гэдэг нэр агуу их гэсэн үг биш юм.","1"
"Ауруг гэдэг үгийн үндэс нь одоо монгол хэлэнд байгаа агуурс, уурхай (агуурхай), агуулах, агуулга гэдэг үгстэй нэг гаралтай. Ауруг гэдэг үг угтаа аливаа юмыг агуулах амбаар склад гэсэн утгатай үг бололтой.","Ауруг гэдэг үгийн үндэс нь монгол хэлэнд байгаа агуурс, уурхай, агуулах, агуулга гэдэг үгстэй нэг гаралтай. Ауруг гэдэг үг аливаа юмыг агуулах амбаар гэсэн утгатай.","1"
"XIII зууны үед хааны ордны дэргэд аливаа хүнс тэжээл, эд барааг агуулах амбаар байшин байдаг учраас хааны орд төв газраа Ауруг гэж нэрлэсэн бололтой. Баруун Монголд уурх гэж зоорины нэр байна.","XIII зууны үед хааны ордны дэргэд хүнс тэжээл, эд барааг агуулах амбаар байшин байдаг байсан учраас хааны орд төв газраа Ауруг гэж нэрлэсэн гэж үздэг. Баруун Монголд уурх гэж зоорины нэр байна.","1"
"Хэрлэнгийн Хөдөө арал нь одоогийн Баян-Улаан уул мөн, Хөдөө аралын Долоон болдог нь одоогийн Долоод мөн. Хэрлэнгийн Ауруг нь одоогийн Аварга мөн гэдэг гурван саналыг бид дэвшүүлж байна.","Хэрлэнгийн Хөдөө арал нь одоогийн Баян-Улаан уул мөн бөгөөд Хөдөө аралын Долоон болдог одоогийн Долоод мөн. Хэрлэнгийн Ауруг нь одоогийн Аварга мөн гэдэг гурван саналыг дэвшүүлж байна.","1"
"XIII зууны үед Хархорумаас гадна Чингис хааны гурван орд байсан бөгөөд түүнийг тусгай ноёд харгалзан захирч байсан байна. Эдгээрийн нэг нь Японы түүхч Янай Ватари-ийн магадалсан ёсоор Хэрлэн голд цутгадаг Цэнхэрийн голын ойр Долоон болдог, Шилгинцэг хоёрын хооронд байжээ.","XIII зууны үед Хархорумаас гадна Чингис хааны гурван орд байсан. Эдгээр ордыг Японы түүхч Янай Ватари-ийн магадалсан ёсоор Цэнхэрийн голын ойр Долоон болдог, Шилгинцэг хоёрын хооронд байжээ.","0"
"Энэ ордыг «Богд баатар биеэр дайлсан тэмдэглэл» гэдэг зохиолд «Чингис хааны их орд» гэж нэрлэсэн байна.","Энэ ордыг «Богд баатар биеэр дайлсан тэмдэглэл» гэдэг зохиолд «Чингис хааны их орд» гэж нэрлэсэн.","0"
"Эдгээр дөрвөн ордыг Хубилай хааны хүү Номгон зэрэг ихэс ноёд захирч байснаас үзэхэд нүүдэллэн явах хэдэн гэр байгаагүй, нэлээд тохитой байран суурин том хот суурин байсан гэж үзэж болно.","Эдгээр дөрвөн ордыг Хубилай хааны хүү Номгон зэрэг ихэс ноёд захирч байсан нь нэлээд тохитой байранд суурин том хот байсан гэж үзэж болно.","0"
"Чингис хааны Ауруг орд нь Хэрлэн голын хавиар анхандаа нүүж байгаад сүүлд Хэрлэнгийн Хөдөө аралд суурьшсан бололтой. Тэр Ауруг ордны үлдэгдэл нь одоогийн Баян-Улааны Хар талд Аварга Тосонгоос урагш 10 километрийн газарт байгаа хотын туурь мөн гэж бид бодож байна.","Чингис хааны Ауруг орд нь Хэрлэн голын хавиар анх нүүж байгаад Хэрлэнгийн Хөдөө аралд суурьшсан гэж үздэг. Ауруг ордны үлдэгдэл нь одоогийн Баян-Улааны Хар талд Аварга Тосонгоос урагш 10 км газар байгаа хотын туурь гэж үздэг.","0"
"Урьдын Ауруг гэдэг үг сунжраад одоо Аварга болжээ гэж бас таамаглаж байна. Ауруг гэдэг нэр угтаа аварга их, агуу их гэсэн үг биш юм.","Ауруг гэдэг үг сунжраад одоо Аварга болжээ гэж таамаглаж байна. Ауруг гэдэг нэр агуу их гэсэн үг биш юм.","0"
"Ауруг гэдэг үгийн үндэс нь одоо монгол хэлэнд байгаа агуурс, уурхай (агуурхай), агуулах, агуулга гэдэг үгстэй нэг гаралтай. Ауруг гэдэг үг угтаа аливаа юмыг агуулах амбаар склад гэсэн утгатай үг бололтой.","Ауруг гэдэг үгийн үндэс нь монгол хэлэнд байгаа агуурс, уурхай, агуулах, агуулга гэдэг үгстэй нэг гаралтай. Ауруг гэдэг үг аливаа юмыг агуулах амбаар гэсэн утгатай.","0"
"Чингис хааны язгуур, дээр тэнгэрээс заяат төрсөн Бөртэ чино, гэргий Гуа-Маралын хамт тэнгис далайг гэтэлж ирээд Онон мөрний эх Бурхан халдун ууланд нутаглаж Батцагаан гэдэг нэгэн хөвүүнийг төрүүлжээ.","Чингис хааны язгуур, Бөртэ чино болон Гуа-Маралын хамт тэнгис далайг гэтэлж Онон мөрний эх Бурхан халдун ууланд ирж Батцагаан гэдэг хөвүүн төрүүлсэн.","1"
"Дува сохор, магнай дундаа ганц нүдтэй гурван нүүдлийн газар харах бүлгээ.","Дува сохор, магнай дундаа ганц нүдтэй бөгөөд гурван нүүдлийн газар харах чадвартай.","1"
"Дува сохор өгүүлрүүн: «Тэр нүүдэл иргэний дотор, тэрэгний мухлагийн өмнө нэг сайхан охин сууж явна.","Дува сохор хэлэхдээ, «Тэр нүүдэл иргэний дотор, тэрэгний мухлагийн өмнө сайхан охин сууж байна.»","1"
"Алун-гуа, Добу мэргэнд ирээд Бүгүнүтэй, Бэлгүнүтэй гэдэг нэртэй хоёр хөвүүнийг төрүүлэв.","Алун-гуа Добу мэргэнд ирж Бүгүнүтэй, Бэлгүнүтэй гэсэн нэртэй хоёр хөвүүн төрүүлсэн.","1"
"Дува сохрыг үхсэний хойно түүний дөрвөн хөвүүн, Добу мэргэнийг авга гэж үзэхгүй доромжилж салж нүүгээд дөрвөд овогтон болов.","Дува сохорыг үхсэний дараа түүний дөрвөн хөвүүн, Добу мэргэн авга гэж үзэлгүй доромжилж салж, дөрвөд овогтон болсон.","1"
"Добу мэргэн, тэр бугын махыг ачиж явтал замд хүүхдээ хөтөлсөн нэгэн ядуу хүн учрав.","Добу мэргэн бугын махыг ачиж явж байхад замд хүүхдээ хөтөлсөн ядуу хүнтэй таарчээ.","1"
"Тэгж байтал Добу мэргэн үгүй болов. Добу мэргэнийг үгүй болсны хойно түүний гэргий Алун-гуа бэлэвсэн бөгөөтөл Буха хатаги, Бухату салжи, Бодончар мунхаг гэдэг нэртэй гурван хөвүүнийг төрүүлэв.","Добу мэргэн үгүй болж, түүний гэргий Алун-гуа бэлэвшсэн бөгөөд Буха хатаги, Бухату салжи, Бодончар мунхаг гэсэн гурван хөвүүн төрүүлсэн.","1"
"Урьд Добу мэргэнийг амьд бүхий цагт төрсөн Бэлгүнүтэй, Бүгүнүтэй хоёр хөвүүн, эх Алун-гуагаас эчнээ хэлэлцсэн нь: «Бидний эх, ойр төрлийн эрэгтэй хүнгүй ба эргүй бөгөөтөл энэ гурван хөвүүнийг төрүүлэв.","Добу мэргэний амьд байхад төрсөн Бэлгүнүтэй, Бүгүйнүтэй хоёр хөвүүн, эх Алун-гуагаас хэлэлцэхэд: «Бидний эх, ойр төрлийн эрэгтэй хүнгүй ба эргүй тул энэ гурван хөвүүн төрүүлсэн.»","1"
"Хаврын нэгэн өдөр хонины хатсан мах чанаж Бэлгүнүтэй, Бүгүнүтэй, Буха хатаги, Бухату салжи, Бодончар мунхаг таван хөвүүндээ идүүлээд тэднийг зэрэгцүүлэн суулгаж, хүн бүрд нэжээд мөс (сум буюу нарийн мод)-ийг хугал гэж өгвөл амархан хугачиж орхив.","Хаврын нэг өдөр хонины хатсан мах чанаж, Бэлгүнүтэй, Бүгүйнүтэй, Буха хатаги, Бухату салжи, Бодончар мунхаг таван хөвүүндээ идүүлж, тэднийг зэрэгцүүлэн суулгаж, хүн бүрт нэжээд мөс хугал гэж өгвөл амархан хугачиж орхив.","1"
"Алун-гуа эх нь өгүүлрүүн: «Бэлгүнүтэй, Бүгүнүтэй та хоёр намайг энэ гурван хөвүүнийг яахин төрүүлэв, хэний хөвүүд бол гэж сэжиглэн хэлэлцэнэ. Сэжиглэх тань зөв.","Алун-гуа эх нь хэлэхдээ: «Бэлгүнүтэй, Бүгүнүтэй та хоёр намайг эдгээр гурван хөвүүнийг хэрхэн төрүүлсэн, хэний хөвүүд гэдгийг сэжиглэж хэлэлцэнэ. Сэжиглэх нь зөв.»","1"
"Гэвч, та нар учрыг мэдэхгүй байна. Шөнө бүр цагаан шар хүн, гэрийн өрх тотгоор гийгүүлэн орж ирээд миний хэвлийг илэхэд түүний гэрэл миний хэвлийд шингэх бүлгээ.","Гэвч та нар учрыг мэдэхгүй. Шөнө бүр цагаан шар хүн гэрийн өрхийг гийгүүлэн орж ирээд миний хэвлийг илэхэд түүний гэрэл миний хэвлийд шингэнэ.","1"
"Тэр хүн, гарах нар сарны хилээр шар нохой мэт шарвалзсаар гарч одно.","Тэр хүн, гарах нар сарны хилээр шар нохой мэт шарвалзаж гарч одно.","1"
"Бас Алун-гуа, таван хөвүүнээ сургаж өгүүлрүүн: «Та таван хөвүүн, миний нэгэн хэвлийгээс төрсөн биш үү.","Алун-гуа таван хөвүүнээ сургаж хэлэхдээ: «Та таван хөвүүн миний нэг хэвлийгээс төрсөн биш үү?»","1"
"Та нар ганц ганцаар салбал нэжээд сум мэт хүнд хялбархан дийлэгдэнэ. Та нар эв эеэ нэгтгэвэл тэр багласан таван сум мэт бэх болж, хэнд ч хялбар дийлэгдэхгүй болно.","Ганцаар салбал нэжээд сум шиг хялбархан дийлэгдэнэ, харин эвтэй нэгтгэвэл таван сум шиг бэх болж, хэнд ч дийлэгдэхгүй болно.","1"
"Эх Алун-гуаг үгүй болсны хойно ах дүү тавуулаа, адуу малаа хуваах болж, Бэлгүнүтэй, Бүгүнүтэй, Буха хатаги, Бухату салжи дөрвүүлээ юмаа хувааж аваад дүү Бодочар мунхагийг бядуу гэж урагт үл тооцож хувь эс өгөв.","Эх Алун-гуаг үгүй болсон хойно ах дүү тавуулаа адуу малаа хувааж, Бэлгүнүтэй, Бүгүнүтэй, Буха хатаги, Бухату салжи дөрвүүлээ юмаа хувааж, дүү Бодочар мунхагийг бядуу гэж үзэж хувь өгсөнгүй.","1"
"Бодончар урагт эс тоологдох атал, энд юу хийж сууна гээд гол даарьт, годил сүүлт орог шинхул морио унаж үхвэл үхье, амьдарвал амьдаръя гэж Онон мөрөн рүү зорьж одов.","Бодончар урагт тоологдохгүй болохоор гол даарьт, годил сүүлт орог морио унаж үхэхгүй бол амьдаръя гэж Онон мөрөн рүү явах гэж одов.","1"
"Тэгж байтал хар хур шувууг бор харцага барьж идэхийг үзэж, гол даарьт, годил сүүлт орог морины хялгасаар урхи хийж, тэр бор харцагыг барьж авчрав.","Бор харцага хар хур шувууг барьж идэхийг үзэж, гол даарьт, годил сүүлт орог морины хялгасаар урхи хийж бор харцагаа барьж авсан.","1"
"Бодончар, идэх юмгүй тул чонын гууд хорьсон гөрөөсийг мярааж харван алж идэх буюу чонын идсэн сэгийг түүж гэдсээ хооллож, харцагаа тэжээсээр тэр он гарав.","Бодончар идэх юмгүй болохоор чонын гууд хорьсон гөрөөсийг мярааж харван алж, чонын сэгийг түүж гэдсээ хооллож, харцагаа тэжээж өнгөрөв.","1"
"Мөчир бүрээс Мөч гуя өлгөж Хожуул бүрээс Хоёр гурван шувуу өлгөсөн нь ялзрахад хүрчээ.","Мөчир бүрээс мөч гуя өлгөж, хожуул бүрээс хоёр гурван шувуу өлгөсөн нь ялзрахад хүрсэн.","1"
"Буха хатаги ах нь Бодончар мунхаг дүүгээ энэ Онон мөрөн рүү одлоо гэж нэхэн ирж, Түнхэлэг горхинд нутаглах тэд иргэнд хүрээд тийм морьтой, тийм хүн үзэгдэв үү гэж сурвал,","Буха хатаги ах нь Бодончар мунхаг дүүгээ Онон мөрөн рүү одлоо гэж нэхэн ирж, Түнхэлэг горхинд амьдарч байгаа тэд иргэнүүдэд тийм морьтой, тийм хүн үзэгдэв үү гэж асуужээ.","1"
"Удалгүй Түнхэлэг горхин өөд нэгэн хүн айсуй. Хүрч ирвэл Бодончар мөн.","Удалгүй Түнхэлэг горхин өөд нэг хүн ирж байна. Тэр нь Бодончар юм.","1"
"Буха хатаги ах нь таньж аваад Онон мөрөн өөд дагуулан давхив.","Буха хатаги ах нь Бодончарыг таньж, Онон мөрөн өөд дагуулан явлаа.","1"
"Бодончар мөн үгийг хоёрдугаар удаа өгүүлбэл, ах нь хариу хэлсэнгүй.","Бодончар тэр үгийг хоёрдугаар удаа хэлэхэд ах нь хариулахгүй өнгөрөв.","1"
"Бодончар өгүүлрүүн: «Тугаарын (саяын) Түнхэлэг горхиноо бүхий иргэнд эзэнгүй, их бага, сайн муу, толгой шийр цөм нэгэн адил чацуу байна. Ийм хялбар иргэн тул тэднийг бид эзэлж авъя».","Бодончар хэлэхдээ: «Түнхэлэг горхины бүх иргэн нэгэн адил бөгөөд тэднийг эзлэхэд амархан. Бид тэднийг эзэлж авъя» гэв.","1"
"Бодончар тэргүүлэн явж нэгэн жирэмсэн эмийг барьж «Чи юун хүн бэ?» гэж асуувал, тэр эм өгүүлрүүн: «Би жарчиуд аданхан урианхайн хүн» гэв.","Бодончар тэргүүлэн явж нэг жирэмсэн эмийг барьж «Чи юун хүн бэ?» гэж асуувал, тэр эм: «Би жарчиуд аданхан урианхайн хүн» гэв.","1"
"Тэндээс ах дүү тавуул тэд иргэнийг довтолж, адуу малыг авч, хүн ардыг зарц болгов.","Ах дүү тавуул тэндээс иргэнийг довтолж, адуу малыг авч, хүн ардыг зарц болгов.","1"
"Тэр жирэмсэн эм Бодончарт ирж хөвүүн төрөв. Түнийг харь овгийн хөвүүн гэж Жажирадай гэж нэрийдэв.","Тэр жирэмсэн эм Бодончарт хөвүүн төрүүлж, түүнийг харь овгийн хөвүүн Жажирадай гэж нэрлэв.","1"
"Тэр Жажирадайн хөвүүн Тугудай нэрт бүлгээ. Тугудайн хөвүүн Бури-булчиру.","Жажирадайн хөвүүн Тугудай бөгөөд Тугудайн хөвүүн Бури-булчиру гэдэг.","1"
"Бури-булчиругийн хөвүүн Хар-хадаан бүлгээ. Хар-хадааны хөвүүн Жамуха бүлгээ.","Бури-булчиругийн хөвүүн Хар-хадаан, Хар-хадааны хөвүүн Жамуха гэдэг.","1"
"Бодончарын авааль эмээс төрсөн Барим ширату Хабич нэрт бүлгээ.","Бодончарын анхны эмээс төрсөн Барим ширату Хабич бүлэг гэж нэрлэгдэв.","1"
"Бодончарын авааль эмээс төрсөн Барим ширату Хабич нэрт бүлгээ. Тэр Хабич баатрын эхийн инжинд ирсэн эмийг Бодончар татвар эм болгож нэгэн хөвүүн төрсөнд Жаурьдай нэр өгөв.","Бодончарын анхны эмээс төрсөн Барим ширату Хабич бүлэг. Тэр Хабич баатрын эхийн инжинд ирсэн эмийг Бодончар татвар эм болгож Жаурьдай нэр өгсөн.","1"
"Хабич баатрын хөвүүн Мэнэн тудун бүлгээ. Мэнэн тудуны хөвүүн Хачи хүлүг, Хачин, Хачиу, Хачула, Харалдай, Хачиун, Начин баатар долоо бүлгээ.","Хабич баатрын хөвүүн Мэнэн тудун, түүний хөвүүн Хачи хүлүг, Хачин, Хачиу, Хачула, Харалдай, Хачиун, Начин баатар зэрэг долоо бүлэгтэй.","1"
"Хачи хүлүгийн хөвүүн Хайду, Намулун эхээс төрсөн бүлгээ.","Хачи хүлүгийн хөвүүн Хайду Намулун эхээс төрсөн бүлэгтэй.","1"
"Хачины хөвүүн Ноёгидай нэртэй бүлгээ. Ноён шиг авиртай тул ноёхон овогтон болов.","Хачины хөвүүн Ноёгидай гэж нэрлэгдсэн бөгөөд ноён шиг авиртай тул ноёхон овогтон болсон.","1"
"Хачиугийн хөвүүн Баруладай нэрт бүлгээ. Их биетэй ба идээ барах ховдог тул Барулас овогтон болов.","Хачиугийн хөвүүн Баруладай нэртэй, их биетэй бөгөөд идээ барах ховдог тул Барулас овогтон болсон.","1"
"Харалдайн хөвүүд будаа мэт эх түрүүгүй хутгалдах тул будаад овогтон болов.","Харалдайн хөвүүд эх түрүүгүй хутгалдах тул будаад овогтон болсон.","1"
"Хачиуны хөвүүн Адархидай нэрт бүлгээ. Ах дүүгийн дунд адармаатай (яхир хэрүүлч) тул адархин овогтон болов.","Хачиуны хөвүүн Адархидай нэртэй, ах дүүгийн дунд адармаатай тул адархин овогтон болсон.","1"
"Начин баатрын хөвүүн Уруудай Мангудай хоёр бүлгээ. Урууд, мангуд овогтон болов.","Начин баатрын хөвүүн Уруудай, Мангудай хоёр бүлэгтэй бөгөөд Урууд, мангуд овогтон болсон.","1"
"Шижуудай Доголдай хоёр бүлгээ.","Шижуудай, Доголдай хоёр бүлэгтэй.","1"
"Хайдугийн хөвүүд Байшинхор догшин, Чирхай лянхуа, Чаужин ортагай гурав бүлгээ.","Хайдугийн хөвүүд Байшинхор догшин, Чирхай лянхуа, Чаужин ортагай гурван бүлэгтэй.","1"
"Тумбинай сэцэний хөвүүн Хабул хаан Сэмсэчүлийг орхин бүлгээ.","Тумбинай сэцэний хөвүүн Хабул хаан Сэмсэчүүлийн бүлэглэл.","1"
"Сэмсэчүүлийн хөвүүн Бүлтэчү баатар бүлгээ.","Сэмсэчүүлийн хүү Бүлтэчү баатар бүлэгтэй.","1"
"Охинбархагийн хөвүүн Хутугту Жүрхи бүлгээ.","Охинбархагийн хөвүүн Хутугту Жүрхи бүлэгтэй.","1"
"Бартан баатрын хөвүүд Мэнгитү хиан, Нэгүүн тайжи, Есүхэй баатар, Даридай отчигин энэ дөрөв бүлгээ.","Бартан баатрын хөвүүд Мэнгитү хиан, Нэгүүн тайжи, Есүхэй баатар, Даридай отчигин дөрвөн бүлэгтэй.","1"
"Хотала хааны хөвүүд Зочи, Хирмау, Алтан гурав бүлгээ.","Хотала хааны хөвүүд Зочи, Хирмау, Алтан гурван бүлэгтэй.","1"
"Хулан Баатрын хөвүүн Их Чэрэн бүлгээ.","Хулан Баатрын хөвүүн Их Чэрэн бүлэгтэй.","1"
"Хадаан Тодойн хоёр үргүй өнгөрчээ.","Хадаан болон Тодойн хоёр үргүй өнгөрсөн байна.","1"
"Тэр цагт Есүхэй баатар, шувуу агнан явах зуур олхуноуд аймгаас эм аваад буцаж яваа мэргидийн их Чилэдү гэдэг хүнтэй уулзаж.","Есүхэй баатар шувуу агнан явахдаа олхуноуд аймгаас эм авсан мэргидийн их Чилэдү гэдэг хүнтэй уулзсан байна.","1"
